"S = 3"
#N	SNR
10	4.0717
12	11.0915
14	3.8119
16	4.0454
18	3.2844
20	2.3945
22	2.5548
24	2.088
26	2.496
28	1.835
30	2.6139


"S = 5"
#N	SNR
10	5.4428
12	5.4142
14	5.3932
16	5.607
18	5.4358
20	5.405
22	5.3653
24	5.1562
26	3.2979
28	2.0242
30	5.2821


"S = 7"
#N	SNR
10	2.404
12	3.8974
14	3.7337
16	3.502
18	3.5427
20	3.1373
22	3.8943
24	3.6673
26	3.5126
28	3.5269
30	2.9853


"S = 9"
#N	SNR
10	2.9498
12	2.9178
14	2.7156
16	2.8836
18	2.8159
20	2.8787
22	2.7742
24	2.6828
26	2.8595
28	2.7496
30	2.8403


"S = 11"
#N	SNR
10	2.2707
12	2.226
14	2.2105
16	2.2106
18	2.2085
20	2.1828
22	2.1232
24	2.2223
26	2.1964
28	2.0773
30	2.2348

